analysis_id,802019kcx68iu44
gene_symbol,Col6a3
pvalue,0.2891716
parameter_id,IMPC_IMM_004_002
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:88461
