analysis_id,ffc1q92c1v86f5g
pvalue,0.4558783
mouse_life_stage,Early adult
parameter_id,ICS_FEA_019_001
gene_accession_id,MGI:1914050
parameter_name,% Freezing duration pre-cue-2
gene_symbol,Trp53rkb
mouse_strain,C57BL
