analysis_id,7iuo30sg0b638zp
pvalue,0.1341543
gene_accession_id,MGI:1913405
parameter_id,IMPC_CSD_029_001
parameter_name,Activity (body position)
gene_symbol,Ufc1
mouse_life_stage,Early adult
mouse_strain,C57BL
