mouse_life_stage,Middle aged adult
analysis_id,g95a1hrm686wt93
gene_symbol,Nucks1
parameter_name,Joints
mouse_strain,C57BL
gene_accession_id,MGI:1934811
pvalue,0.8866616
parameter_id,IMPC_XRY_027_001
