parameter_id,M-G-P_014_001_001
mouse_strain,C57BL
parameter_name,Eye
analysis_id,t6g8m6m3zb2302f
gene_accession_id,MGI:88174
gene_symbol,Bmi1
mouse_life_stage,E15.5
pvalue,0.7130321
