parameter_name,QT
gene_symbol,Lpgat1
mouse_life_stage,E18.5
pvalue,0.3625669
analysis_id,8c8i3d6ybd435tn
gene_accession_id,MGI:2446186
mouse_strain,C57BL
parameter_id,IMPC_ECG_028_001
