analysis_id,643a73urr4uih5y
parameter_name,Coat - color - abdomen
mouse_strain,C57BL
parameter_id,IMPC_CSD_007_001
mouse_life_stage,Middle aged adult
pvalue,0.08389775
gene_symbol,Hpca
gene_accession_id,MGI:1336200
