analysis_id,10ip0ddy8oh0047
pvalue,0.4754017
gene_accession_id,MGI:2684980
parameter_id,MGP_MLN_066_001
gene_symbol,Mms22l
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_name,Effector CD4+ T helper cells - % of CD45+
