analysis_id,01441v5h4564134
mouse_strain,C57BL
pvalue,1.180113
gene_accession_id,MGI:1914561
gene_symbol,Nanp
parameter_name,Alpha beta T cell percentage
parameter_id,MGP_PBI_002_001
mouse_life_stage,E18.5
