analysis_id,76aioh8d50ojm58
gene_symbol,Fgb
mouse_strain,C57BL
parameter_id,IMPC_ECH_005_001
parameter_name,Fractional Shortening
mouse_life_stage,E12.5
pvalue,0.1287574
gene_accession_id,MGI:99501
