parameter_name,Tibia
gene_accession_id,MGI:1915524
parameter_id,IMPC_XRY_025_001
analysis_id,i8xq8n9xhw93fqc
pvalue,0.3784519
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Toporsl
