analysis_id,v542k8xq205xpi5
mouse_strain,C57BL
gene_accession_id,MGI:1934811
pvalue,0.1145399
parameter_id,ICS_FEA_019_001
parameter_name,% Freezing duration pre-cue-2
mouse_life_stage,Late adult
gene_symbol,NUCKS1
