gene_symbol,Amigo1
pvalue,0.8920753
mouse_strain,C57BL
gene_accession_id,MGI:2653612
analysis_id,54dxm8m77sqjd22
mouse_life_stage,Early adult
parameter_name,Bone Mineral Density (excluding skull)
parameter_id,IMPC_DXA_004_001
