parameter_name,Total food intake
pvalue,0.1315889
gene_accession_id,MGI:1914836
analysis_id,6mj9623ca454u3d
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ubxn11
parameter_id,IMPC_CAL_008_001
