gene_symbol,Ncaph
parameter_id,IMPC_OFD_017_001
mouse_strain,C57BL
analysis_id,217z5j32a3ir5m4
gene_accession_id,MGI:2444777
pvalue,0.05112719
mouse_life_stage,Early adult
parameter_name,Center average speed
