parameter_id,IMPC_HWT_008_001
parameter_name,Heart weight
gene_symbol,Mms22l
gene_accession_id,MGI:2684980
pvalue,0.6624568
analysis_id,2897u34u017m3vj
mouse_life_stage,Early adult
mouse_strain,129SV
