parameter_name,Periphery distance travelled
gene_accession_id,MGI:1914309
pvalue,0.8009703
mouse_strain,C57BL
analysis_id,33uhv2e1210r52v
parameter_id,ESLIM_007_001_006
gene_symbol,Ola1
mouse_life_stage,Early adult
