gene_symbol,F2
pvalue,0.9575102
parameter_id,IMPC_CSD_012_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,v18se8d76sd7mb5
gene_accession_id,MGI:88380
parameter_name,Coat - hair distribution - head
