analysis_id,ai38y5kr95m2133
gene_accession_id,MGI:1346344
parameter_id,ESLIM_001_001_117
gene_symbol,NR0B2
parameter_name,eye size
mouse_life_stage,Early adult
mouse_strain,B6J
pvalue,0.09496157
