analysis_id,1h4o1v8038l7818
parameter_id,IMPC_ECG_028_001
mouse_strain,C57BL
pvalue,0.4070008
parameter_name,QT
gene_accession_id,MGI:1929242
mouse_life_stage,Early adult
gene_symbol,Ivd
