analysis_id,186a213mn1xf1gb
mouse_strain,C57BL
gene_symbol,Opn3
pvalue,0.7007705
gene_accession_id,MGI:1338022
parameter_id,IMPC_GEL_011_001
mouse_life_stage,Early adult
parameter_name,Embryo turning
