gene_symbol,Sfpq
mouse_life_stage,Early adult
parameter_name,Dark side time spent
analysis_id,khtljwrjg0q871g
mouse_strain,C57BL
pvalue,0.5152665
parameter_id,JAX_LDT_004_001
gene_accession_id,MGI:1918764
