gene_symbol,Rab17
parameter_name,Startle response
mouse_life_stage,Early adult
pvalue,0.6012206
mouse_strain,C57BL
analysis_id,7w566y70mpf3phf
parameter_id,ESLIM_008_001_013
gene_accession_id,MGI:104640
