parameter_id,HMGULA_HWT_008_001
analysis_id,t7f3js681ed1f82
parameter_name,Heart weight
gene_symbol,Orc2
mouse_life_stage,E9.5
gene_accession_id,MGI:1328306
mouse_strain,C57BL
pvalue,0.9002959
