analysis_id,54sm7g40s6t179l
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.615206
gene_symbol,Ints7
gene_accession_id,MGI:1924315
parameter_id,MGP_IMM_007_001
