parameter_name,HDL-cholesterol
analysis_id,yi04ax569f70pa6
parameter_id,IMPC_CBC_016_001
mouse_strain,C57BL
gene_symbol,Rgs20
pvalue,0.2368768
gene_accession_id,MGI:1929866
mouse_life_stage,Early adult
