gene_symbol,Msantd3
gene_accession_id,MGI:1913915
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Heart weight
analysis_id,j2221v1nim6vpsl
parameter_id,IMPC_HWT_008_001
pvalue,0.4389932
