analysis_id,d6569477cscwcbn
mouse_life_stage,Early adult
pvalue,0.4119899
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,C57BL
parameter_id,MGP_MLN_006_001
gene_accession_id,MGI:3045306
gene_symbol,Exd1
