gene_symbol,Arpc5l
pvalue,0.604365
parameter_id,MGP_IMM_112_001
gene_accession_id,MGI:1921442
parameter_name,Follicular B cells - % of CD45+
mouse_strain,C57BL
analysis_id,dkyz9435q5044z6
mouse_life_stage,Early adult
