analysis_id,lmvr3zt33b51sc8
parameter_name,Conditioning Baseline % Freezing Time
pvalue,0.1061671
mouse_life_stage,Early adult
gene_accession_id,MGI:1913838
gene_symbol,Cmpk1
mouse_strain,C57BL
parameter_id,IMPC_FEA_003_001
