gene_symbol,Stk35
parameter_id,ESLIM_014_001_008
mouse_strain,C57BL
pvalue,0.8211641
parameter_name,Cornea vascularisation
mouse_life_stage,Early adult
analysis_id,v0jnut7v6dcrgx7
gene_accession_id,MGI:1914583
