parameter_name,Total bilirubin
gene_accession_id,MGI:99605
mouse_strain,C57BL
gene_symbol,Cntfr
analysis_id,w7p3e2944ws6hh6
parameter_id,IMPC_CBC_008_001
pvalue,0.4991386
mouse_life_stage,Early adult
