analysis_id,20f57qtjwk0pjo8
parameter_name,MZB (CD21/35 high)
gene_accession_id,MGI:1913483
mouse_life_stage,Early adult
pvalue,0.5156572
gene_symbol,Dmap1
mouse_strain,C57BL
parameter_id,IMPC_IMM_071_001
