analysis_id,7336hl370q06s37
mouse_strain,C57BL
parameter_name,Ulna
parameter_id,IMPC_XRY_023_001
gene_symbol,Col6a3
mouse_life_stage,Early adult
gene_accession_id,MGI:88461
pvalue,0.09134556
