parameter_id,IMPC_XRY_024_001
mouse_life_stage,E9.5
parameter_name,Femur
gene_symbol,Cdin1
pvalue,0.8633451
gene_accession_id,MGI:3026886
mouse_strain,C57BL
analysis_id,47ut188d60nf041
