gene_symbol,Ift74
mouse_strain,C57BL
gene_accession_id,MGI:1914944
pvalue,0.7673858
parameter_id,IMPC_IMM_006_001
parameter_name,Others
mouse_life_stage,Early adult
analysis_id,886897d1507857h
