analysis_id,n7j57c47z4750px
parameter_name,CV
mouse_strain,C57BL
gene_symbol,Zfp683
gene_accession_id,MGI:3650254
mouse_life_stage,Early adult
pvalue,0.3133603
parameter_id,IMPC_ECG_003_001
