analysis_id,0q192fr8361hq51
parameter_id,IMPC_GRS_009_001
parameter_name,Forelimb and hindlimb grip strength measurement mean
gene_accession_id,MGI:95457
gene_symbol,Mecom
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,1.464348
