analysis_id,drh68t7h74c3671
pvalue,0.3736096
parameter_id,JAXLA_GRS_010_001
mouse_strain,C57BL
parameter_name,Forelimb grip strength normalised against body weight
gene_accession_id,MGI:2385884
gene_symbol,Ddx27
mouse_life_stage,Early adult
