analysis_id,s0369v22rtcat13
parameter_id,HMGULA_CBC_005_001
parameter_name,Creatinine
mouse_life_stage,Early adult
gene_accession_id,MGI:104640
pvalue,0.3668806
gene_symbol,Rab17
mouse_strain,C57BL
