parameter_id,IMPC_CSD_039_001
parameter_name,Limb grasp
mouse_strain,C57BL
pvalue,0.8245191
analysis_id,4q83342yn8799vc
gene_accession_id,MGI:109356
gene_symbol,Snap23
mouse_life_stage,Late adult
