analysis_id,mq4r66prr903322
parameter_id,JAX_OFD_017_001
mouse_strain,C57BL
gene_accession_id,MGI:1916043
mouse_life_stage,Early adult
gene_symbol,Rab3gap2
pvalue,5.636708e-06
parameter_name,Center average speed
