analysis_id,9701ez8fss9j977
parameter_name,Large Unstained Cell (LUC) count
gene_symbol,Rab13
mouse_strain,C57BL
gene_accession_id,MGI:1927232
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_039_001
pvalue,0.8610339
