analysis_id,gvc81564fa64j13
gene_accession_id,MGI:1915087
parameter_name,HR
mouse_strain,C57BL
pvalue,0.7247606
mouse_life_stage,E9.5
parameter_id,JAXLA_ECG_002_001
gene_symbol,Tiprl
