gene_symbol,Trim46
mouse_strain,C57BL
analysis_id,k0i0iw6nr07w95g
pvalue,0.5564536
mouse_life_stage,Early adult
parameter_id,TCPLA_XRY_033_001
parameter_name,Tibia length
gene_accession_id,MGI:2673000
