analysis_id,d29s6wsb17c37us
gene_symbol,Lpgat1
parameter_name,Fasted blood glucose concentration
gene_accession_id,MGI:2446186
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_IPG_010_001
pvalue,0.3035391
