gene_symbol,Gja10
parameter_name,CD8 CD44-CD62L+ T cells
gene_accession_id,MGI:1339969
pvalue,0.4430179
analysis_id,0i9n56478u23i73
parameter_id,IMPC_IMM_034_001
mouse_life_stage,Early adult
mouse_strain,C57BL
