gene_symbol,Zyg11b
parameter_name,Pericardium Morphology
parameter_id,IMPC_GEL_006_001
gene_accession_id,MGI:2685277
mouse_life_stage,Early adult
pvalue,0.9856462
mouse_strain,C57BL
analysis_id,4k05ko13hz2wo7t
