analysis_id,517vi8cnp314fy8
gene_accession_id,MGI:1917810
parameter_id,IMPC_ABR_004_001
parameter_name,6kHz-evoked ABR Threshold
gene_symbol,Wars2
mouse_strain,C57BL
pvalue,0.5239467
mouse_life_stage,Early adult
