gene_symbol,Dhdds
pvalue,0.7447799
gene_accession_id,MGI:1914672
mouse_strain,C57BL
parameter_id,MGP_BMI_019_001
parameter_name,T cells - % of CD45+
analysis_id,8ks772l464300tx
mouse_life_stage,Early adult
