analysis_id,1g9nq5p41n9xb4a
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_031_001
gene_accession_id,MGI:107414
pvalue,0.8792028
mouse_strain,C57BL
gene_symbol,Tnfsf10
parameter_name,Lymphocyte differential count
