parameter_name,Periphery average speed
parameter_id,IMPC_OFD_013_001
mouse_strain,C57BL
gene_symbol,Ints7
gene_accession_id,MGI:1924315
pvalue,0.3124637
mouse_life_stage,E9.5
analysis_id,8j46e7yqwy1m1tv
