parameter_name,Lean mass
parameter_id,JAXLA_DXA_003_001
analysis_id,0ef97ye2x368727
pvalue,0.1016201
gene_accession_id,MGI:1915472
gene_symbol,Tubb4b
mouse_life_stage,Early adult
mouse_strain,C57BL
