parameter_name,Center permanence time
gene_symbol,Bmi1
mouse_life_stage,Early adult
analysis_id,70t30k42s39y22e
gene_accession_id,MGI:88174
mouse_strain,C57BL
pvalue,0.1238232
parameter_id,IMPC_OFD_016_001
