analysis_id,3llotki66sgyr6z
pvalue,0.1871526
mouse_life_stage,Early adult
parameter_name,KLRG1+ NK cells - % of CD45+
gene_symbol,Sprr1b
parameter_id,MGP_IMM_101_001
mouse_strain,C57BL
gene_accession_id,MGI:106659
