parameter_id,IMPC_IPG_010_001
gene_accession_id,MGI:1913506
pvalue,0.1701685
mouse_strain,C57BL
analysis_id,61m038862rg12qv
mouse_life_stage,Early adult
gene_symbol,Ssr2
parameter_name,Fasted blood glucose concentration
