gene_symbol,Dnajc5b
parameter_name,CV
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1913576
pvalue,0.146861
parameter_id,IMPC_ECG_003_001
analysis_id,hi02sqda3ib40t7
