analysis_id,54uv2my7fr9y993
parameter_name,Alanine aminotransferase
parameter_id,IMPC_CBC_013_001
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
mouse_life_stage,Early adult
pvalue,0.2876426
mouse_strain,C57BL
