gene_symbol,Tatdn3
mouse_life_stage,Early adult
pvalue,0.3611022
gene_accession_id,MGI:1916222
analysis_id,z38s772822yy1v6
parameter_name,Lean mass
parameter_id,JAXLA_DXA_003_001
mouse_strain,C57BL
