analysis_id,mwzkb34nhn832sl
mouse_life_stage,Early adult
parameter_name,Total holepokes
pvalue,0.8144471
gene_symbol,Fgb
parameter_id,JAXLA_HBD_001_001
mouse_strain,C57BL
gene_accession_id,MGI:99501
