analysis_id,hf81fas2418ft24
mouse_life_stage,Early adult
parameter_id,HMGULA_DYS_024_001
pvalue,0.403056
gene_accession_id,MGI:1925049
gene_symbol,Sla2
parameter_name,Vibrissae - appearance
mouse_strain,C57BL
