mouse_strain,129SV
pvalue,0.7349009
gene_symbol,Cntfr
parameter_name,Forelimb and hindlimb grip strength measurement mean
gene_accession_id,MGI:99605
analysis_id,8m0q7er851dgar0
mouse_life_stage,Early adult
parameter_id,IMPC_GRS_009_001
