gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
pvalue,0.9369955
analysis_id,x6t686xm3257209
parameter_id,IMPC_XRY_024_001
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_name,Femur
