parameter_name,Cholesterol ratio
mouse_life_stage,Early adult
analysis_id,99krq6zu6224i39
pvalue,0.06666544
gene_accession_id,MGI:103302
parameter_id,IMPC_CBC_058_001
mouse_strain,C57BL
gene_symbol,Bmp7
